,car,label,rec_error
0,208,0,3.6395316123962402
1,226,0,2.5669431686401367
2,208,0,1.8663997650146484
3,226,0,1.7783920764923096
4,208,0,1.5886324644088745
5,226,0,1.3576786518096924
6,244,0,1.3050274848937988
7,244,0,0.8725160360336304
8,244,0,0.8621012568473816
9,244,0,0.8516159057617188
10,244,0,0.7935201525688171
11,248,0,0.7727265357971191
12,248,0,0.694102942943573
13,248,0,0.6539910435676575
14,248,0,0.6168741583824158
15,248,0,0.6131889224052429
16,248,0,0.5972357988357544
17,248,0,0.5630205869674683
18,248,0,0.5622868537902832
19,213,0,0.446889728307724
20,248,0,0.4464631676673889
21,208,0,0.38667333126068115
22,245,0,0.36185210943222046
23,213,0,0.3343713879585266
24,213,0,0.298750638961792
25,245,0,0.2635166049003601
26,213,0,0.25030744075775146
27,211,0,0.2444574534893036
28,248,0,0.24248534440994263
29,213,0,0.229667067527771
30,213,0,0.22389762103557587
31,208,0,0.21147021651268005
32,208,0,0.20605282485485077
33,211,0,0.20198826491832733
34,202,0,0.2000541388988495
35,213,0,0.19948022067546844
36,211,0,0.19783267378807068
37,213,0,0.19766920804977417
38,208,0,0.19253107905387878
39,213,0,0.18835806846618652
40,208,0,0.18722209334373474
41,211,0,0.18533524870872498
42,211,0,0.18474093079566956
43,213,0,0.18360863626003265
44,208,0,0.18054288625717163
45,213,0,0.1801752895116806
46,211,0,0.17606256902217865
47,208,0,0.17397907376289368
48,211,0,0.17334896326065063
49,213,0,0.17295798659324646
50,211,0,0.17254124581813812
51,211,0,0.1709020584821701
52,208,0,0.169973224401474
53,211,0,0.16942241787910461
54,208,0,0.16931301355361938
55,213,0,0.16930827498435974
56,213,0,0.16891631484031677
57,208,0,0.1687506139278412
58,246,0,0.16781660914421082
59,221,0,0.16741430759429932
60,213,0,0.16659900546073914
61,208,0,0.16563192009925842
62,213,0,0.16507942974567413
63,208,0,0.1648160219192505
64,208,0,0.1625056266784668
65,208,0,0.1624762862920761
66,208,0,0.1619584858417511
67,213,0,0.16075055301189423
68,208,0,0.1600588858127594
69,213,0,0.15992382168769836
70,208,0,0.15915903449058533
71,211,0,0.15896949172019958
72,208,0,0.15673193335533142
73,213,0,0.1563723385334015
74,208,0,0.15628330409526825
75,208,0,0.1560003012418747
76,208,0,0.15484479069709778
77,213,0,0.15475979447364807
78,208,0,0.15390053391456604
79,208,0,0.15342280268669128
80,208,0,0.15313208103179932
81,244,0,0.15254507958889008
82,208,0,0.15252283215522766
83,208,0,0.15146920084953308
84,244,0,0.15085455775260925
85,208,0,0.1507251113653183
86,213,0,0.15066871047019958
87,213,0,0.1494775265455246
88,213,0,0.14881235361099243
89,213,0,0.14778660237789154
90,208,0,0.1474633514881134
91,208,0,0.14736950397491455
92,208,0,0.1471286118030548
93,208,0,0.14693206548690796
94,208,0,0.1464937925338745
95,208,0,0.1464780569076538
96,208,0,0.14641645550727844
97,208,0,0.14634382724761963
98,223,0,0.14621077477931976
99,208,0,0.14619454741477966
100,211,0,0.14522914588451385
101,208,0,0.14342103898525238
102,208,0,0.14287781715393066
103,211,0,0.1426035612821579
104,208,0,0.1425710767507553
105,208,0,0.14230267703533173
106,208,0,0.1421217918395996
107,208,0,0.14194874465465546
108,208,0,0.14181888103485107
109,208,0,0.1405971497297287
110,213,0,0.14058855175971985
111,208,0,0.14017292857170105
112,208,0,0.1398635059595108
113,208,0,0.13982872664928436
114,208,0,0.1396758258342743
